region,forest,reforest
Carahue,  8.74 ,  690.07 
Cholchol,  2.56 ,  344.39 
Cunco,  10.50 ,  213.35 
Curarrehue,  0.50 ,  0.83 
Freire,  3.17 ,  69.36 
Galvarino,  8.70 ,  595.78 
Gorbea,  12.5  ,  428.74 
Lautaro,  2.00 ,  751.98 
Loncoche,  17.05 ,"  1077.16 "
Melipeuco,  7.5   ,  35.23 
Nueva Imperial,  6.96 ,  539.22 
Padre las Casas,  1.00 ,  10.23 
Perquenco,  7.9   ,  126.16 
Pitrufquén,  13.22 ,  76.04 
Pucón,  24.5   ,  23.12 
Saavedra,  30.55 ,  24.19 
Temuco,  2.75 ,  312.45 
Teodoro Schmidt,  9.95 ,  14.23 
Toltén,  19.80 ,"  1156.54 "
Vilcún,  1.05 ,  355.44 
Villarrica,  0.50 ,  75.23 
s/i de comuna,  0.24   ,  60   
Angol,  2.4   ,"  2510.94 "
Collipulli,  29.29 ,"  3402.79 "
Curacautín,  6.8   ,  347.30 
Ercilla,  0.49 ,  664.84 
Lonquimay,  2.8   ,  300   
Los Sauces,  1.65 ,"  1715.05 "
Lumaco,  35.21 ,"  2186.92 "
Purén,  20.50 ,  426.26 
Renaico,  14.7   ,  648.69 
Traiguén,  20.50 ,"  1748.65 "
Victoria,  4.44 ,  815.98 
